一	〔一〕
乙	〔乙〕
二	〔二〕
十	〔十〕
丁	〔丁〕
厂	〔厂〕
七	〔七〕
卜	〔卜〕
八	〔八〕
人	〔人〕
入	〔入〕
儿	〔儿〕
匕	〔匕〕
几	〔几〕
九	〔九〕
刁	〔㇆㇀〕
了	〔了〕
刀	〔刀〕
力	〔力〕
乃	〔乃〕
又	〔又〕
三	〔三〕
干	〔干〕
于	〔一〕
亏	〔二ㄅ〕
工	〔工〕
土	〔土〕
士	〔士〕
才	〔丿〕
下	〔一卜〕
寸	〔寸〕
大	〔大〕
丈	〔一〕
与	〔一ㄅ一〕
万	〔一〕
上	〔⺊一〕
小	〔小〕
口	〔口〕
山	〔山〕
巾	〔巾〕
千	〔千〕
乞	〔𠂉乙〕
川	〔川〕
亿	〔亻乙〕
个	〔人丨〕
夕	〔夕〕
久	〔㇏〕
么	〔丿厶〕
勺	〔勹丶〕
凡	〔几丶〕
丸	〔九丶〕
及	〔及〕
广	〔广〕
亡	〔亡〕
门	〔门〕
丫	〔丷丨〕
义	〔丶乂〕
之	〔之〕
尸	〔尸〕
己	〔己〕
已	〔已〕
巳	〔巳〕
弓	〔弓〕
子	〔子〕
卫	〔一〕
也	〔也〕
女	〔女〕
刃	〔刀丶〕
飞	〔飞〕
习	〔习〕
叉	〔又丶〕
马	〔马〕
乡	〔乡〕
丰	〔丰〕
王	〔王〕
开	〔一廾〕
井	〔井〕
天	〔一大〕
夫	〔夫〕
元	〔二儿〕
无	〔无〕
云	〔云〕
专	〔二丶〕
丐	〔一⺊ㄅ〕
扎	〔扌乚〕
艺	〔艹乙〕
木	〔木〕
五	〔五〕
支	〔支〕
厅	〔厂丁〕
不	〔不〕
犬	〔犬〕
太	〔大丶〕
区	〔匸㐅〕
历	〔厂力〕
歹	〔歹〕
友	〔𠂇又〕
尤	〔尤〕
匹	〔匸儿〕
车	〔车〕
巨	〔匚コ〕
牙	〔牙〕
屯	〔一〕
戈	〔戈〕
比	〔匕〕
互	〔一彑〕
切	〔七刀〕
瓦	〔瓦〕
止	〔止〕
少	〔𡭔丿〕
曰	〔曰〕
日	〔日〕
中	〔口丨〕
贝	〔贝〕
冈	〔冂㐅〕
内	〔冂人〕
水	〔水〕
见	〔见〕
午	〔𠂉十〕
牛	〔牛〕
手	〔手〕
气	〔气〕
毛	〔毛〕
壬	〔㇒士〕
升	〔丿廾〕
夭	〔丿大〕
长	〔长〕
仁	〔亻二〕
什	〔亻十〕
片	〔片〕
仆	〔亻卜〕
化	〔亻〕
仇	〔亻九〕
币	〔丿巾〕
仍	〔亻乃〕
仅	〔亻又〕
斤	〔斤〕
爪	〔爪〕
反	〔⺁又〕
介	〔人〕
父	〔八乂〕
从	〔人人〕
仑	〔仑〕
今	〔亽〕
凶	〔㐅凵〕
分	〔八刀〕
乏	〔丿之〕
公	〔八厶〕
仓	〔人⺋〕
月	〔月〕
氏	〔氏〕
勿	〔勹〕
欠	〔欠〕
风	〔⺇乂〕
丹	〔⺆亠〕
匀	〔勹冫〕
乌	〔乌〕
勾	〔勹厶〕
凤	〔⺇又〕
六	〔六〕
文	〔文〕
亢	〔亠几〕
方	〔方〕
火	〔火〕
为	〔丶力丶〕
斗	〔斗〕
忆	〔忄乙〕
计	〔讠十〕
订	〔讠丁〕
户	〔户〕
认	〔讠人〕
冗	〔冖几〕
讥	〔讠几〕
心	〔心〕
尺	〔尸㇏〕
引	〔弓丨〕
丑	〔ヿ土〕
巴	〔巴〕
孔	〔子乚〕
队	〔阝人〕
办	〔力八〕
以	〔人〕
允	〔厶儿〕
予	〔予〕
邓	〔又阝〕
劝	〔又力〕
双	〔又又〕
书	〔ヿヿ丨丶〕
幻	〔幺㇆〕
玉	〔王丶〕
刊	〔干刂〕
未	〔未〕
末	〔一木〕
示	〔示〕
击	〔凵〕
打	〔扌丁〕
巧	〔工一ㄅ〕
正	〔一止〕
扑	〔扌卜〕
卉	〔十廾〕
扒	〔扌八〕
功	〔工力〕
扔	〔扌乃〕
去	〔土厶〕
甘	〔甘〕
世	〔廿㇗〕
艾	〔艹乂〕
古	〔古〕
节	〔艹卩〕
本	〔木一〕
术	〔木丶〕
可	〔可〕
丙	〔一冂人〕
左	〔𠂇工〕
厉	〔厂一〕
石	〔石〕
右	〔𠂇口〕
布	〔𠂇巾〕
夯	〔大力〕
戊	〔戊〕
龙	〔龙〕
平	〔干丷〕
灭	〔一火〕
轧	〔乚〕
东	〔小〕
卡	〔⺊一卜〕
北	〔匕〕
占	〔⺊口〕
凸	〔一〕
卢	〔⺊尸〕
业	〔业〕
旧	〔丨日〕
帅	〔リ巾〕
归	〔リ彐〕
旦	〔日一〕
目	〔目〕
且	〔且〕
叶	〔口十〕
甲	〔甲〕
申	〔日丨〕
叮	〔口丁〕
电	〔日乚〕
号	〔口一ㄅ〕
田	〔田〕
由	〔由〕
只	〔口八〕
叭	〔口八〕
史	〔口〕
央	〔大〕
兄	〔口儿〕
叽	〔口几〕
叼	〔口㇆㇀〕
叫	〔口丩〕
叩	〔口卩〕
叨	〔口刀〕
另	〔口力〕
叹	〔口又〕
冉	〔冂土〕
皿	〔皿〕
凹	〔一〕
囚	〔囗人〕
四	〔四〕
生	〔生〕
矢	〔矢〕
失	〔丿夫〕
乍	〔乍〕
禾	〔禾〕
丘	〔一〕
付	〔亻寸〕
仗	〔亻一〕
代	〔亻弋〕
仙	〔亻山〕
们	〔亻门〕
仪	〔亻丶乂〕
白	〔白〕
仔	〔亻子〕
他	〔亻也〕
斥	〔斤丶〕
瓜	〔瓜〕
乎	〔丿丷〕
丛	〔人人一〕
令	〔亽龴〕
用	〔用〕
甩	〔用乚〕
印	〔一卩〕
尔	〔小〕
乐	〔小〕
句	〔句〕
匆	〔勹丶〕
册	〔册〕
卯	〔卯〕
犯	〔犭⺋〕
外	〔夕卜〕
处	〔夂卜〕
冬	〔夂⺀〕
鸟	〔鸟〕
务	〔夂力〕
包	〔勹巳〕
