肮	肮 骯
袄	袄 襖
爱	爱 愛
庵	庵 菴
奥	奥 奧
碍	碍 礙
蔼	蔼 藹
埯	埯 垵
铵	铵 銨
皑	皑 皚
谙	谙 諳
锕	锕 錒
腌	腌 醃
媪	媪 媼
骜	骜 驁
鹌	鹌 鵪
嗳	嗳 噯
嫒	嫒 嬡
叆	叆 靉
暧	暧 曖
翱	翱 翺
鳌	鳌 鰲
霭	霭 靄
岙	岙 嶴
垵	垵 埯
瑷	瑷 璦
锿	锿 鎄
卜	卜 蔔
贝	贝 貝
币	币 幣
办	办 辦
布	布 佈
边	边 邊
毕	毕 畢
闭	闭 閉
并	并 並 竝
坝	坝 壩
报	报 報
别	别 彆
狈	狈 狽
补	补 補
驳	驳 駁
表	表 錶
拨	拨 撥
杯	杯 盃
板	板 闆
败	败 敗
贬	贬 貶
备	备 備
饱	饱 飽
变	变 變
宝	宝 寶
绊	绊 絆
帮	帮 幫
标	标 標
饼	饼 餅
绑	绑 綁
毙	毙 斃
罢	罢 罷
笔	笔 筆
颁	颁 頒
宾	宾 賓
剥	剥 剝
绷	绷 綳
辈	辈 輩
惫	惫 憊
谤	谤 謗
编	编 編
摆	摆 擺 襬
鲍	鲍 鮑
禀	禀 稟
痹	痹 痺
滨	滨 濱
辟	辟 闢
缤	缤 繽
镑	镑 鎊
瘪	瘪 癟
辩	辩 辯
濒	濒 瀕
辫	辫 辮
鳖	鳖 鱉
鬓	鬓 鬢
呗	呗 唄
贲	贲 賁
荜	荜 蓽
哔	哔 嗶
钚	钚 鈈
钡	钡 鋇
钣	钣 鈑
钯	钯 鈀
鸨	鸨 鴇
飑	飑 颮
钵	钵 鉢
钹	钹 鈸
铂	铂 鉑
铋	铋 鉍
饽	饽 餑
笾	笾 籩
鹁	鹁 鵓
筚	筚 篳
傧	傧 儐
摈	摈 擯
龅	龅 齙
跸	跸 蹕
锛	锛 錛
鲅	鲅 鮁
滗	滗 潷
槟	槟 檳
殡	殡 殯
膑	膑 臏
镔	镔 鑌
飙	飙 飆
镖	镖 鏢
镚	镚 鏰
鳊	鳊 鯿
鞴	鞴 韝
髌	髌 髕
鳔	鳔 鰾
镳	镳 鑣
诐	诐 詖
骉	骉 驫
袯	袯 襏
赑	赑 贔
鹎	鹎 鵯
鲌	鲌 鮊
镈	镈 鎛
鲾	鲾 鰏
厂	厂 廠
才	才 纔
车	车 車
长	长 長
从	从 從
仓	仓 倉
丑	丑 醜
丛	丛 叢
册	册 冊
处	处 處
出	出 齣
场	场 場
尘	尘 塵
虫	虫 蟲
吃	吃 喫
传	传 傳
创	创 創
冲	冲 衝
产	产 産
闯	闯 闖
驰	驰 馳
苍	苍 蒼
财	财 財
囱	囱 囪
彻	彻 徹
肠	肠 腸
床	床 牀
灿	灿 燦
沧	沧 滄
词	词 詞
层	层 層
迟	迟 遲
陈	陈 陳
纯	纯 純
厕	厕 厠
齿	齿 齒
畅	畅 暢
侧	侧 側
采	采 採
宠	宠 寵
诚	诚 誠
衬	衬 襯
参	参 參
残	残 殘
尝	尝 嚐 嘗
钞	钞 鈔
疮	疮 瘡
测	测 測
蚕	蚕 蠶
耻	耻 恥
唇	唇 脣
础	础 礎
称	称 稱
舱	舱 艙
掺	掺 摻
铲	铲 鏟
偿	偿 償
凑	凑 湊
